cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
1,3,1,,OUTROS,GERENCIADO,BODY CARE MASSIVO,OUTROS,OUTROS,OUTROS,OUTROS,DEMAIS FAB,OUTROS,DEMAIS MARCAS,CONCORRENTES,-,OUTROS,OUTROS,OUTROS,,,OUTROS,OUTROS,1,OUTROS,VAREJISTA,OUTROS,,,,,,
2,3,2,,OUTROS,GERENCIADO,FACE CARE DERMO,OUTROS,OUTROS,OUTROS,OUTROS,DEMAIS FAB,OUTROS,DEMAIS MARCAS,CONCORRENTES,-,OUTROS,OUTROS,OUTROS,,,OUTROS,OUTROS,1,OUTROS,VAREJISTA,OUTROS,,,,,,
3,3,3,,OUTROS,GERENCIADO,FACE CARE MASSIVO,OUTROS,OUTROS,OUTROS,OUTROS,DEMAIS FAB,OUTROS,DEMAIS MARCAS,CONCORRENTES,-,OUTROS,OUTROS,OUTROS,,,OUTROS,OUTROS,1,OUTROS,VAREJISTA,OUTROS,,,,,,
5610,3,5610,5610.0,PLUII SH BL MARIN NOVO,GERENCIADO,BODY CARE MASSIVO,LIMPEZA PELE,LIMPEZA OUTROS,CREME,PLUII,DEMAIS FAB,PLUII,DEMAIS MARCAS,CONCORRENTES,-,-,FRASCO,ML,400.0,400.0,201 ACIMA,REGULAR,1,REGULAR,ITENS RAIA,201 ACIMA,,,,,,
8064,3,8064,,BB CREAM MATTE LOREAL CLARA 30G,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,BB CREAM,CREME,L'OREAL BRASIL COMERCIAL DE COSMETICOS LTDA,LOREAL,LOREAL PARIS,LOREAL PARIS,DPGP,-,-,BISNAGA,G,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS PROFARMA,ATE 50,,,,,,
8066,3,8066,,BB CREAM MATTE LOREAL MEDIA 30G,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,BB CREAM,CREME,L'OREAL BRASIL COMERCIAL DE COSMETICOS LTDA,LOREAL,LOREAL PARIS,LOREAL PARIS,DPGP,-,-,BISNAGA,G,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS PROFARMA,ATE 50,,,,,,
8067,3,8067,,BB CREAM MATTE LOREAL MORENA 30G,GERENCIADO,FACE CARE MASSIVO,HIDRATACAO,BB CREAM,CREME,L'OREAL BRASIL COMERCIAL DE COSMETICOS LTDA,LOREAL,LOREAL PARIS,LOREAL PARIS,DPGP,-,-,BISNAGA,G,30.0,30.0,ATE 50,REGULAR,1,REGULAR,ITENS PROFARMA,ATE 50,,,,,,
31277,3,31277,,RICCA MS PR LP PL 1X10,GERENCIADO,FACE CARE MASSIVO,MASCARA,GEL,-,BELLIZ COMPANY,DEMAIS FAB,RICCA,DEMAIS MARCAS,CONCORRENTES,-,-,SACHE,G,8.0,8.0,ATE 50,REGULAR,1,REGULAR,ITENS RAIA,ATE 50,,,,,,
31312,3,31312,,RICCA MS FC ARG NT1X10,GERENCIADO,FACE CARE MASSIVO,MASCARA,ARGILA,-,BELLIZ COMPANY,DEMAIS FAB,RICCA,DEMAIS MARCAS,CONCORRENTES,-,-,SACHE,G,25.0,25.0,ATE 50,REGULAR,1,REGULAR,ITENS RAIA,ATE 50,,,,,,
63750,3,63750,,MASCARA TERMICA EM GEL P OLHOS  HOT,NAO GERENCIADO,FACE CARE ACESSORIO,ACESSORIO,ACESSORIO,-,BIM COMERCIO COSMETICOS,DEMAIS FAB,OCEANE,DEMAIS MARCAS,CONCORRENTES,-,-,SACHE,-,0.0,0.0,-,REGULAR,1,REGULAR,ITENS PAGUE MENOS,-,,,,,,
