cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
17894650937676,,17894650937676,OFF FAMILY SPRAY 100ML X 12UN 17894650937676,,,,,,,,OFF,,,,,,,,,,,,,,,,,,,,
17894650937768,,17894650937768,OE GLADE LAVANDA AERO 360ML OFERTA ESPECIAL X 12UNID 17894650937768,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650938437,,17894650938437,OE GLADE FRUTAS E FLORES VIBRANTES AERO 360ML OF ESP X 12UNI 17894650938437,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650938628,,17894650938628,GLADE LEMBRACAS DE INFANCIA AERO 360ML X 12UNID 17894650938628,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650938932,,17894650938932,OE GLADE TQ FRESCOR AGUAS FLORAIS REF AERO 12ML LV3 PG2X24UN 17894650938932,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650938949,,17894650938949,GLADE AUTOMATIC SPRAY AGUAS FLORAIS SP RF 269ML X 6UNID 17894650938949,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650939045,,17894650939045,GLADE TOQUE DE MACIEZ AERO 360ML X 12UNID 17894650939045,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650940126,,17894650940126,GLADE LAVANDA 100ML X 12UNID 17894650940126,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650940133,,17894650940133,GLADE FRESCOR DE AGUAS FLORAIS 100ML X 12UNID 17894650940133,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650940140,,17894650940140,GLADE LEMBRANCAS DE INFANCIA 100ML X 12UNID 17894650940140,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17894650940157,,17894650940157,GLADE TOQUE DE MACIEZ 100ML X 12UNID 17894650940157,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
17896013402524,,17896013402524,SECAR LAVANDA 100ML X 12UN 17896013402524,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013402531,,17896013402531,SECAR ALECRIM 100ML X 12UN 17896013402531,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013402647,,17896013402647,SECAR VERBENA 100ML X 12UNID 17896013402647,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013402654,,17896013402654,SECAR SENSUAL 100ML X 12UNID 17896013402654,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013402838,,17896013402838,SECAR SEMENTE NATIVA 100ML X 12UNID 17896013402838,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013403033,,17896013403033,SECAR BAMBOO 100ML X 12UNID 17896013403033,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013403729,,17896013403729,SECAR LAVANDA 150ML X 12UNID 17896013403729,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013403736,,17896013403736,SECAR ALECRIM 150ML X 12UNID 17896013403736,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
17896013403743,,17896013403743,SECAR ROSAS 150ML X 12UNID 17896013403743,,,,,,,,SECAR,,,,,,,,,,,,,,,,,,,,
27894650079427,,27894650079427,OFF SPRAY 100MLX12 UNID 27894650079427,,,,,,,,OFF,,,,,,,,,,,,,,,,,,,,
37894650005669,,37894650005669,GLADE GEL CITRUS 70G X 12UNID 37894650005669,,,,,,,,GLADE,,,,,,,,,,,,,,,,,,,,
37896084900039,,37896084900039,NO INSET SPRAY 110ML X 12UN 37896084900039,,,,,,,,NO INSET,,,,,,,,,,,,,,,,,,,,
47891035539938,,47891035539938,BOM AR AIR WICK F MATIC CITR SP RF250ML X 6 UNID 47891035539938,,,,,,,,AIR WICK,,,,,,,,,,,,,,,,,,,,
47891035539945,,47891035539945,BOM AR AIR WICK F.MATIC LAV SP RF250ML/170GX6 UNID 47891035539945,,,,,,,,BOM AR,,,,,,,,,,,,,,,,,,,,
1852,,1852,TRID TRI D DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 5000 NAO PROMOCAO,,,,,,,,TRI D,,,,,,,,,,,,,,,,,,,,
1853,,1853,UNIAO FABRIL UFENOL DESINFETANTE SEM VERSAO EUCALIPTO GARRAFA 750 NAO PROMOCAO,,,,,,,,UFENOL,,,,,,,,,,,,,,,,,,,,
1854,,1854,ILEVER BRILHANTE DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 1000 NAO PROMOCAO,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
1855,,1855,NILEVER BRILHANTE DESINFETANTE SEM VERSAO OUTROS AROMAS GARRAFA 500 NAO PROMOCAO,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
1856,,1856,RILHANTE DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 1000 NAO PROMOCAO,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
1857,,1857,BRILHANTE DESINFETANTE SEM VERSAO PINHO/PINHO SILVESTRE GARRAFA 500 NAO PROMOCAO,,,,,,,,BRILHANTE,,,,,,,,,,,,,,,,,,,,
1858,,1858,UNILEVER FAST DESINFETANTE SEM VERSAO SEM AROMA GARRAFA 5000 NAO PROMOCAO,,,,,,,,FAST,,,,,,,,,,,,,,,,,,,,
1859,,1859,UNILEVER OMO DESINFETANTE POWER BAC OUTROS AROMAS GARRAFA 1000 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1860,,1860,UNILEVER OMO DESINFETANTE POWER BAC OUTROS AROMAS GARRAFA 1750 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1861,,1861,UNILEVER OMO DESINFETANTE POWER BAC OUTROS AROMAS GARRAFA 500 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
1862,,1862,UNILEVER OMO DESINFETANTE POWER BAC OUTROS AROMAS PANO/LENCO 20 NAO PROMOCAO,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
