cod_produto,cod_categoria,ean,plu,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_unidade,tamanho_total,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,subst x culinario,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
0,1,0,,OUTROS,GERENCIADO,OUTRAS SUBST,OUTROS,OUTROS,OUTROS,OUTROS,OUTRO FAB,OUTROS,OUTRAS MARCAS,,,,,,,,,,,,,,,,,,,
1,1,1,,ADOÇANTE ZERO CAL ERITRITOL PO 150G x1 REGULAR,GERENCIADO,ERITRITOL,NATURAL,PO,PO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,POTE,,G,150.0,150.0,101 ACIMA,REGULAR,1.0,,,ERITRITOL,,,,,,S/CCR(S/SCRS) ERTRTL P 150 G N PRMC ZERO CAL
2,1,2,,ADOÇANTE ZERO CAL ASPARTAME LIQUIDO 25ML x1 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,LIQUIDO,,ML,25.0,25.0,ATE 80,REGULAR,1.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) LQD 25 ML N PRMC ZERO CAL
3,1,3,,ADOÇANTE ZERO CAL ASPARTAME PO -G x100 REGULAR,GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,SACHE,,G,0.0,0.0,ATE 80,REGULAR,100.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 100 ENV N PRMC ZERO CAL
4,1,4,,"ADOÇANTE ZERO CAL ASPARTAME PO 0,8G x1000 REGULAR",GERENCIADO,ASPARTAME,ARTIFICIAL,PO,PO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,SACHE,,G,0.8,800.0,101 ACIMA,REGULAR,1000.0,,,ASPARTAME,,,,,,ASPRTM (SCRN/CCL/SP) P 1000 ENV N PRMC ZERO CAL
5,1,5,,ADOÇANTE ZERO CAL SACARINA LIQUIDO 200ML x3 DESCONTO,GERENCIADO,SACARINA,ARTIFICIAL,LIQUIDO,LIQUIDO,HYPERA,HYPERA,ZERO CAL,ZERO CAL,ZERO CAL,ZERO CAL,LIQUIDO,,ML,200.0,600.0,101 ACIMA,PROMOCAO,3.0,,,SACARINA,,,,,,SCRN (CCL/SC) LQD 200 ML PRMC ZERO CAL
6,2,6,,AÇUCAR FIT UNIAO AÇUCAR FIT AÇUCAR FIT G x30 REGULAR,NAO GERENCIADO,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,AÇUCAR FIT,CAMIL,OUTRO FAB,UNIAO,OUTRAS MARCAS,OUTRAS MARCAS,UNIAO,AÇUCAR FIT,,G,0.0,0.0,ATE 80,REGULAR,30.0,,,AÇUCAR FIT,,,,,,SCRS (SCRN/CCL/SCR P 30 ENV N PRMC UNIAO FIT
7,1,7,,ADOÇANTE LINEA STEVIA CULINARIO 70G x1 REGULAR,GERENCIADO,STEVIA,NATURAL,PO,CULINARIO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,CULINARIO,,G,70.0,70.0,ATE 80,REGULAR,1.0,,,CULINARIO,,,,,,STV (SCRN/CCL/SCR/ST P 70 G N PRMC LINEA
8,1,8,,"ADOÇANTE LINEA STEVIA PO 0,6G x50 LMPM",GERENCIADO,STEVIA,NATURAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.6,30.0,ATE 80,PROMOCAO,50.0,,,STEVIA,,,,,,STV (SCRN/CCL/SCR/ST P 50 ENV PRMC LINEA
9,1,9,,"ADOÇANTE LINEA SACARINA PO 0,06G x100 REGULAR",GERENCIADO,SACARINA,ARTIFICIAL,PO,PO,LINEA,LINEA,LINEA,LINEA,LINEA,LINEA,SACHE,,G,0.06,6.0,ATE 80,REGULAR,100.0,,,SACARINA,,,,,,(SCRN/CCL/SCR) CMPRMD 100 CMPR N PRMC LINEA
