cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
7896001002609,,7896001002609,ESPANADOR BETTANIN VARRE MESA,,,,,,,,BETTANIN,,,,,,,,,,,,,,,,,,,,
7891187066117,,7891187066117,PANO M USO MAXIMO 15X33 ROLO LIMP LEVE,,,,,,,,MAXIMO,,,,,,,,,,,,,,,,,,,,
7891172523311,,7891172523311,"PANO SCOTT DURAMAX C/58 ROLO, AZU",,,,,,,,SCOTT,,,,,,,,,,,,,,,,,,,,
7891172523328,,7891172523328,"PANO SCOTT DURAMAX C/58 ROLO, BCO",,,,,,,,SCOTT,,,,,,,,,,,,,,,,,,,,
7899226800838,,7899226800838,MOP UNI RETANGULAR,,,,,,,,UNILAR,,,,,,,,,,,,,,,,,,,,
7896903911207,,7896903911207,RODO MELARE 40CM LAQUEADO,,,,,,,,MELARE,,,,,,,,,,,,,,,,,,,,
7896450950025,,7896450950025,SACO LIXO ECOLIX C/10 200L,,,,,,,,ECOLIX,,,,,,,,,,,,,,,,,,,,
17891301214001,,17891301214001,SQUEEZE DERMIWIL 350ML,,,,,,,,DERMIWIL,,,,,,,,,,,,,,,,,,,,
7899686701331,,7899686701331,"ALCOOL LIQ UNI 1L LIMP 46,2% INPM",,,,,,,,UNI,,,,,,,,,,,,,,,,,,,,
7899686702734,,7899686702734,DESINF UNI LIMP 2L BACTERICIDA,,,,,,,,UNI LIMP,,,,,,,,,,,,,,,,,,,,
7891024194133,,7891024194133,DESINF PINHO SOL L500ML P450ML ORIGINAL,,,,,,,,PINHO SOL,,,,,,,,,,,,,,,,,,,,
7898462400383,,7898462400383,"DESINF BARBAREX 2L, ALGAS",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449499758,,7899449499758,"DESINF BARBAREX 2L, FLOR CAMPO",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449499772,,7899449499772,"DESINF BARBAREX 2L, SENSACOES",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400765,,7898462400765,"DESINF BARBAREX 2L, FLORAL",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400406,,7898462400406,"DESINF BARBAREX 2L, VIOLEX",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462409201,,7898462409201,"DESINF BARBAREX 5L, ALGAS",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400345,,7898462400345,"DESINF BARBAREX 5L, VIOLEX",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7897285605555,,7897285605555,RATOEIRA FERRO N6,,,,,,,,LAMAR,,,,,,,,,,,,,,,,,,,,
7899449497068,,7899449497068,LUSTRA MOVEIS BARBAREX 500ML TRAD,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899686703243,,7899686703243,LUSTRA MOVEIS UNI LIMP 200ML LAVANDA,,,,,,,,UNI LIMP,,,,,,,,,,,,,,,,,,,,
