ean,nome_produto,sub_segmento
7898604680628,SPLENDORE CONDICIONADOR TRANSITION PASSO 3 300 ML x 1,
7898923250915,SPLENDORE LIQUIDO EQUILIBRIUM CONCENTRADO MULTIVITAMINICO 60 ML x 1,
7898604680505,SPLENDORE MASCARA CAPILAR CONDICIONANTE MAGIC CARE 300 ML x 1,
7898604680635,SPLENDORE MASCARA CAPILAR DE TRATAMENTO INTENSIVO TRANSITION PASSO 2 300 G x 1,
7898923250908,SPLENDORE MASCARA CAPILAR EQUILIBRIUM 300 ML x 1,
7898604680673,SPLENDORE MASCARA CONDICIONANTE PHYTO NUTRY 300 ML x 1,
7898923250892,SPLENDORE SHAMPOO EQUILIBRIUM 300 ML x 1,
7898604680499,SPLENDORE SHAMPOO MAGIC CARE 300 ML x 1,
7898923250854,SPLENDORE SHAMPOO MAGIC PURPLE 300 ML x 1,
7898604680611,SPLENDORE SHAMPOO TRANSITION PASSO 1 300 G x 1,
7896213110901,SPRAYSET SHAMPOO A SECO DRY CLEANERS 260 ML x 1,
7896213161941,SPRAYSET SHAMPOO A SECO DRY CLEANERS 50 ML x 1,
7896213161309,SPRAYSET SPRAY DE PENTEAR MEGA FORTE 400 ML x 1,
7896213110352,SPRAYSET SPRAY FIXADOR DE PENTEADO SUAVE 440 ML x 1,
7896213110932,SPRAYSET SPRAY HAIR FIXACAO FORTE 250 ML x 1,
7896213110369,SPRAYSET SPRAY HAIR FIXACAO FORTE 440 ML x 1,
7896213110772,SPRAYSET SPRAY MOUSSE FORTE 150 ML x 1,
7896213161316,SPRAYSET SPRAY MOUSSE MEGA FORTE 180 ML x 1,
7898635419051,SR LISS CONDICIONADOR VERAO PROTECAO CONTRA SOL 300 ML x 1,
7898635413295,SR LISS CREME CAPILAR EXTERMINADOR DE FRIZZ 300 G x 1,
7898635417972,SR LISS CREME CAPILAR LEAVE IN PITAYA 200 ML x 1,
7898635411949,SR LISS CREME LEAVE IN RELAXA FIOS 200 G x 1,
7898635415633,SR LISS CREME LEAVE-IN 10 EM 1 200 ML x 1,
7898635411130,SR LISS CREME LEAVE-IN COCONUT 250 G x 1,
7898635417989,SR LISS CREME LEAVE-IN MACA VERDE 200 ML x 1,
7908357400838,SR LISS KIT ESPECIAL RELAXA FIOS SHAMPOO 300ML + MASCARA 250ML 550 ML x 1,
7898635414377,SR LISS LOCAO CAPILAR ANTI FRIZZ MAGIC BLEND 1000 ML x 1,
7898635415060,SR LISS LOCAO CAPILAR ANTI FRIZZ MAGIC BLEND 300 ML x 1,
7898635415589,SR LISS LOCAO CAPILAR EXTRATO DE BAMBU 120 ML x 1,
7898635411192,SR LISS MASCARA CAPILAR ANTI VOLUME RELAXA FIOS 1 KG x 1,
7898635411185,SR LISS MASCARA CAPILAR ANTI VOLUME RELAXA FIOS 250 G x 1,
7898635411086,SR LISS MASCARA CAPILAR DE TRATAMENTO E REDUCAO DE VOLUME BTX MAXX CONTROL 1000 G x 1,
7898635411079,SR LISS MASCARA CAPILAR DE TRATAMENTO E REDUCAO DE VOLUME BTX MAXX CONTROL 250 G x 1,
7898635415565,SR LISS MASCARA CAPILAR EXTRATO DE BAMBU 1 L x 1,
7898635415572,SR LISS MASCARA CAPILAR EXTRATO DE BAMBU 250 G x 1,
7898635411260,SR LISS MASCARA CAPILAR INTENSY LOURO PLATINADO 1 KG x 1,
7898635411253,SR LISS MASCARA CAPILAR INTENSY LOURO PLATINADO 250 G x 1,
7898635417965,SR LISS MASCARA CAPILAR MACA VERDE 250 G x 1,
7898635415442,SR LISS MASCARA CAPILAR MAIS LOIRO 250 G x 1,
7898635411147,SR LISS MASCARA CAPILAR NUTRITIVA COCONUT 250 G x 1,
7898635411154,SR LISS MASCARA CAPILAR NUTRITIVA COCONUT OIL 1000 G x 1,
7898635417958,SR LISS MASCARA CAPILAR PITAYA 250 G x 1,
7898635411031,SR LISS MASCARA CAPILAR WHEY ANABOLIZANTE 250 G x 1,
7898635411116,SR LISS SHAMPOO COCONUT 300 ML x 1,
7898635415541,SR LISS SHAMPOO EXTRATO DE BAMBU 1 L x 1,
7898635415558,SR LISS SHAMPOO EXTRATO DE BAMBU 300 ML x 1,
7898635418009,SR LISS SHAMPOO MACA VERDE 300 ML x 1,
7908357400692,SR LISS SHAMPOO MAGIC BLEND 1000 ML x 1,
7898635415435,SR LISS SHAMPOO MAIS LOIRO 300 ML x 1,
7898635417996,SR LISS SHAMPOO PITAYA 300 ML x 1,
7898635411963,SR LISS SHAMPOO RELAXA FIOS 300 ML x 1,
7898635411246,SR LISS SHAMPOO SILVER 300 ML x 1,
7898635419044,SR LISS SHAMPOO VERAO PROTECAO SOLAR USO DIARIO 300 ML x 1,
7898635411840,SR LISS SHAMPOO WHEY ANABOLIZANTE 300 ML x 1,
7898635415022,SR LISS SPRAY CAPILAR MAIS LOIRO 200 ML x 1,
7898635416678,SR LISS SPRAY PERFUME CAPILAR INTENSY 40 ML x 1,
7898635416685,SR LISS SPRAY PERFUME CAPILAR SOFT 40 ML x 1,
7898635415305,SR LISS SPRAY QUERATINA LIQUIDA HELP SOS 120 ML x 1,
7896858624566,SR MICCO GEL FIXADOR CAPILAR EFEITO MOLHADO 250 G x 1,
7897375106436,SR MICCO POMADA CAPILAR MODELADORA 130 G x 1,
7897375106443,SR MICCO POMADA CAPILAR MODELADORA BLACK 130 G x 1,
7896858625075,SR MICCO POMADA CAPILAR MODELADORA TEIA 130 G x 1,
7896858625099,SR MICCO POMADA CAPILAR SECA 130 G x 1,
7898035161109,STEFF SHAMPOO QUERATINA 5 L x 1,
4971710258257,STEPHEN KNOLL NY CONDICIONADOR PREMIUM SLEEK 3 DAY HAIR RENEW SACHE 8 ML x 3,
4971710472554,STEPHEN KNOLL NY CONDICIONADOR SILK SMOOTH 60 ML x 1,
751320908452,STEPHEN KNOLL NY KIT RICH MOIST SHAMP 60ML+CONDICIO 60ML+SPRAY LEAVE IN 75ML GRT MASCA SAC 13 208 ML x 1,
751320908445,STEPHEN KNOLL NY KIT SILKY SMOOTH SHAMP 60ML+CONDICIO 60ML+SPRAY LEAVE IN 75ML GRT MASCA SAC 208 ML x 1,
4971710254778,STEPHEN KNOLL NY LEAVEIN COLOR SHINNING ESSENCE 120 ML x 1,
4971710254754,STEPHEN KNOLL NY LEAVEIN SPRAY HYDRO RENEW MIST 250 ML x 1,
4971710258134,STEPHEN KNOLL NY SHAMPO SILKY SMOOTH REFIL 400 ML x 1,
4971710258196,STEPHEN KNOLL NY SHAMPOO COLOR&MEC REFIL 400 ML x 1,
4971710472516,STEPHEN KNOLL NY SPRAY LEAVE IN MINIATURA RICH MOIST HYDRO RENEW MIST 758 ML x 1,
7897054516242,STILL LIFE CREME PENTEAR QUERATINA 300 ML x 1,
7897054514026,STILL LIFE GEL FIXADOR CAPILAR MAGIC FRESH 240 G x 1,
7897054514019,STILL LIFE GEL FIXADOR MAGIC BLUE 240 G x 1,
7897054514415,STILL LIFE GEL FIXADOR MAGIC BLUE 490 G x 1,
7897054514040,STILL LIFE GEL FIXADOR MAGIC CRISTAL 240 G x 1,
7897054514248,STILL LIFE GEL FIXADOR MAGIC CRISTAL 250 G x 1,
7897054514446,STILL LIFE GEL FIXADOR MAGIC CRISTAL 490 G x 1,
7897054514033,STILL LIFE GEL FIXADOR MAGIC FASHION 240 G x 1,
7897054531009,STILL LIFE GEL FIXADOR PEDRA MAXXI STILL EXTREMA FIXACAO 250 G x 1,
7897054514118,STILL LIFE GEL MAXXI ACO 250 G x 1,
7897054514842,STILL LIFE GEL MAXXI COLA 250 G x 1,
7897054514859,STILL LIFE GEL MAXXI COLA 500 G x 1,
7897054531016,STILL LIFE GEL MAXXI PEDRA 500 G x 1,
7897054531559,STILL LIFE POMADA MODELADORA EFEITO TEIA 150 G x 1,
7898256650024,STILLO COSMETICOS AMPOLA VITAMINA CAPILAR ALOE VERA 2.8 ML x 1,
7898256659751,STILLO COSMETICOS MASCARA DE TRATAMENTO CAPILAR BLACK 250 G x 1,
7898256659812,STILLO MASCARA TRATAMENTO CAPILAR BLUE 250 G x 1,
7898256659546,STILLO MASCARA TRATAMENTO CAPILAR MARSALA 250 G x 1,
7898256659768,STILLO MASCARA TRATAMENTO CAPILAR PINK 250 G x 1,
7898256658488,STILLO MASCARA TRATAMENTO CAPILAR RED 250 G x 1,
7898275090788,STILLOS SENSURE GEL FIXADOR AZUL 240 G x 1,
7898275885896,STILLOS SENSURE GEL FIXADOR INCOLOR 240 G x 1,
7898275057903,STILLOS SENSURE GEL FIXADOR VERDE 240 G x 1,
7898450023808,STUDIO G GEL CAPILAR COLA BLACK FORISSIMO 250 G x 1,
7898450021972,STUDIO G GEL FIXADOR CAPILAR COLA BRANCO 280 G x 1,
7896279114691,STUDIO HAIR CONDICIONADOR SELANTE PROGRESSIVA CASEIRA 300 ML x 1,
7896279114721,STUDIO HAIR CREME FINALIZADOR CAPILAR PROGRESSIVA CASEIRA 100 G x 1,
7896279114707,STUDIO HAIR MASCARA INTENSIVA PROGRESSIVA CASEIRA 300 G x 1,
7896279114714,STUDIO HAIR MASCARA INTENSIVA PROGRESSIVA CASEIRA 500 G x 1,
7896279114783,STUDIO HAIR MASCARA SUPER CONCENTRADA MAIONESE CAPILAR 350 G x 1,
7896279114387,STUDIO HAIR POMADA FINALIZADORA CAPILAR RICINO 40 G x 1,
7896279114394,STUDIO HAIR POMADA MODELADORA DPANTENOL 40 G x 1,
7896279114400,STUDIO HAIR POMADA MODELADORA FIXACAO FORTE 120 G x 1,
7896279122627,STUDIO HAIR POMADA MODELADORA FIXADORA CAPILAR STUDIO HAIR BABY HAIR 120 G x 1,
7896279122597,STUDIO HAIR POMADA MODELADORA FIXADORA CAPILAR STUDIO HAIR DISFARCA FIOS BRANCOS 120 G x 1,
7896279122603,STUDIO HAIR POMADA MODELADORA FIXADORA CAPILAR STUDIO HAIR TRANCAS 120 G x 1,
